"","accelerometer_x","accelerometer_y","accelerometer_z","gyroscope_x","gyroscope_y","gyroscope_z","linear_acc_x","linear_acc_y","linear_acc_z","gravity_x","gravity_y","gravity_z","orientation_z","orientation_x","orientation_y","activity"
"4151",-1.8532,-8.5116,-0.1437,-1.001,-9.7536,0.1883,-0.751,0.9713,-0.53,-0.129,0.1433,-0.0589,275.69,83.79,75.42,"vacuum"
"4152",-3.182,-9.9985,-0.2394,-1.2161,-9.7309,-0.0145,-1.9771,0.0459,-0.1551,-0.181,-0.0845,0.249,268.88,83.41,86.59,"vacuum"
"4153",-3.1365,-9.0791,-0.1365,-1.611,-9.6706,-0.2336,-1.4065,0.4787,-0.1746,-0.2158,-0.0118,0.1952,261.14,81.28,95.77,"vacuum"
"4154",-2.8085,-9.0695,-0.3879,-1.8946,-9.616,-0.335,-0.8319,0.6621,-0.0654,-0.0802,-0.1395,0.0468,260.55,79.72,99.72,"vacuum"
"4155",-2.775,-9.024,-0.4932,-1.9889,-9.5974,-0.3233,-0.5969,0.5063,-0.2298,-0.0338,-0.3405,-0.1187,261.24,78.19,99.72,"vacuum"
"4156",-2.6936,-9.4263,-0.249,-1.8657,-9.6223,-0.3176,-1.1224,0.1649,0.0662,-0.0142,-0.3765,-0.203,257.02,78.87,99.66,"vacuum"
"4157",-2.0232,-9.5005,-0.3783,-1.7931,-9.6364,-0.3074,-0.0744,-0.0197,-0.2457,-0.0686,-0.5793,-0.2232,259.7,79.03,99.44,"vacuum"
"4158",-0.3687,-9.3903,0.2729,-1.5026,-9.6901,-0.1206,1.1291,0.1322,0.5563,0.224,-0.4816,-0.3606,256.01,80.45,97.42,"vacuum"
"4159",0.4884,-10.8006,0.0335,-1.061,-9.7457,0.2565,1.7817,-1.0884,-0.1607,0.2912,-0.784,-0.3362,266.78,82.71,84.95,"vacuum"
"4160",0.4812,-9.7543,1.4485,-0.6944,-9.7773,0.3026,1.1757,0.0231,1.1459,0.0817,-0.9196,-0.0796,278.74,85.57,66.45,"vacuum"
"4161",0.6201,-9.8381,0.656,-0.5309,-9.7788,0.5129,1.1511,-0.0593,0.1431,0.1318,-0.8823,0.0395,291.85,85.82,51.29,"vacuum"
"4162",0.3184,-9.8117,0.7446,-0.4939,-9.7713,0.6694,0.8123,-0.0405,0.0752,0.0505,-0.9361,0.2802,297.59,85.4,36.18,"vacuum"
"4163",-1.9801,-13.293,-0.3687,-0.7424,-9.7392,0.8756,-0.1051,-1.9305,-0.6051,0.2827,-0.8084,0.6338,293.41,84.78,37.95,"vacuum"
"4164",-1.5635,-9.9817,-0.1365,-0.8932,-9.7421,0.6814,0.0456,-0.8023,-0.5809,-0.6935,-1.1297,0.5373,284.14,83.42,52.66,"vacuum"
